question,text
B01,B01. I am interested in my work
B02,B02. I am sufficiently challenged by my work
B03,B03. My work gives me a sense of personal accomplishment
B04,B04. I feel involved in the decisions that affect my work
B05,B05. I have a choice in deciding how I do my work
B06,B06. I have a clear understanding of [my organisations] objectives
B07,B07. I understand how my work contributes to [my organisations] objectives
B08,B08. My manager motivates me to be more effective in my job
B09,B09. My manager is considerate of my life outside work
B10,B10. My manager is open to my ideas
B11,B11. My manager helps me to understand how I contribute to [my organisations] objectives
B12,"B12. Overall, I have confidence in the decisions made by my manager"
B13,B13. My manager recognises when I have done my job well
B14,B14. I receive regular feedback on my performance
B15,B15. The feedback I receive helps me to improve my performance
B16,B16. I think that my performance is evaluated fairly
B17,B17. Poor performance is dealt with effectively in my team
B18,B18. The people in my team can be relied upon to help when things get difficult in my job
B19,B19. The people in my team work together to find ways to improve the service we provide
B20,B20. The people in my team are encouraged to come up with new and better ways of doing things
B21,B21. I am able to access the right learning and development opportunities when I need to
B22,B22. Learning and development activities I have completed in the past 12 months have helped to improve my performance
B23,B23. There are opportunities for me to develop my career in [my organisation]
B24,B24. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career
B25,B25. I am treated fairly at work
B26,B26. I am treated with respect by the people I work with
B27,B27. I feel valued for the work I do
B28,"B28. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc.)"
B29,B29. I get the information I need to do my job well
B30,B30. I have clear work objectives
B31,B31. I have the skills I need to do my job effectively
B32,B32. I have the tools I need to do my job effectively
B33,B33. I have an acceptable workload
B34,B34. I achieve a good balance between my work life and my private life
B35,B35. I feel that my pay adequately reflects my performance
B36,B36. I am satisfied with the total benefits package
B37,B37. Compared to people doing a similar job in other organisations I feel my pay is reasonable
B38,B38. [Senior managers] in [my organisation] are sufficiently visible
B39,B39. I believe the actions of [senior managers] are consistent with [my organisation
B40,B40. I believe that [the executive team has] a clear vision for the future of [my organisation]
B41,"B41. Overall, I have confidence in the decisions made by [my organisations senior mangers]"
B42,B42. I feel that change is managed well in [my organisation]
B43,B43. When changes are made in [my organisation] they are usually for the better
B44,B44. [My organisation] keeps me informed about matters that affect me
B45,B45. I have the opportunity to contribute my views before decisions are made that affect me
B46,B46. I think it is safe to challenge the way things are done in [my organisation]
B47,B47. I am proud when I tell others I am part of [my organisation]
B48,B48. I would recommend [my organisation] as a great place to work
B49,B49. I feel a strong personal attachment to [my organisation]
B50,B50. [My organisation] inspires me to do the best in my job
B51,B51. [My organisation] motivates me to help it achieve its objectives
B52,B52. I believe that [senior managers] in [my organisation] will take action on the results from this survey
B53,"B53. Where I work, I think effective action has been taken on the results of the last survey"
B54,B54. I am trusted to carry out my job effectively
B55,"B55. I believe I would be supported if I try a new idea, even if it may not work"
B56,"B56. In [my organisation], people are encouraged to speak up when they identify a serious policy or delivery risk"
B57,B57. I feel able to challenge inappropriate behaviour in the workplace
B58,B58. [My organisation] is committed to creating a diverse and inclusive workplace
B59,B59. I am aware of the Civil Service vision for 'A Brilliant Civil Service'
B60,B60. Managers in my Area/Directorate/Divison actively role model the behaviours set out in the Civil Service Leadership Statement
